호기,부위,일자,시작시간,완료시간,정지시간(분),정지시간(시간),고장 원인,처리 내용,MTTR,MTBF,고장강도율,translated_고장원인,translated_처리내용,translated_부위,제품 가격 가중치,risk_impact,가동시간,risk_likehood
3호기,압출기,7월7일,04:55:00,06:50:00,115,1.9,메인램 스트로크 엔코더,벨트 이탈로 거리값 틀러짐,1.44,51,2.83,Main ram stroke encoder,Distance value is incorrect due to belt deviation,extruder,0.35,4.579211677,357.16,7.003137255
3호기,압출기,7월22일,07:20:00,08:20:00,60,1,SERVO VALVE 간혈적 ,동작 안됨 포텐샤 메타 배선 납땜,1.44,51,2.83,SERVO VALVE Intermittent,Doesn't work. Soldering the potentia meter wiring.,extruder,0.35,4.579211677,357.16,7.003137255
3호기,압출기,7월28일,13:30:00,15:50:00,140,2.3,콘테이너 실린다 로드 페킹,오일 누유 심해 교체 작업,1.44,51,2.83,container cylinder rod packing,Severe oil leak replacement work,extruder,0.35,4.579211677,357.16,7.003137255
3호기,압출기,7월8일,11:30:00,12:50:00,80,1.3,SERVO VALVE 오일 오염 ,밸브 교체 및 용접 조정,1.44,51,2.83,SERVO VALVE oil contamination,Valve replacement and weld adjustments,extruder,0.35,4.579211677,357.16,7.003137255
3호기,압출기,8월8일,09:12:00,11:00:00,108,1.8,로더 충돌현상,보조로더 리드S/W 감지 교정,2.03,23.4,8.68,Loader crash phenomenon,Auxiliary loader lead S/W detection correction,extruder,0.35,4.785711677,351.5,15.02136752
3호기,압출기,8월13일,08:45:00,11:23:00,158,2.6,로더판 파손,로더판 교정후 조립,2.03,23.4,8.68,Damaged loader plate,Assemble after calibrating the loader plate,extruder,0.35,4.785711677,351.5,15.02136752
3호기,압출기,8월4일,08:30:00,17:00:00,510,8.5,"터치스크린 입력값 전체 ""0""표시",Power supply 교체,2.03,23.4,8.68,All touch screen input values ​​display “0”,Power supply replacement,extruder,0.35,4.785711677,351.5,15.02136752
3호기,압출기,8월18일,03:49:00,05:30:00,101,1.7,로더판 볼트 파손,로더판 볼트 파손 교체,2.03,23.4,8.68,Loader plate bolt damaged,Replace damaged loader plate bolts,extruder,0.35,4.785711677,351.5,15.02136752
3호기,압출기,8월27일,14:00:00,14:20:00,20,0.3,SCR 유닛 Fuse 소손,SCR 유닛 Fuse 교체 작업,2.03,23.4,8.68,SCR unit fuse burnt out,SCR unit fuse replacement work,extruder,0.35,4.785711677,351.5,15.02136752
3호기,압출기,8월27일,08:30:00,15:30:00,420,7,컨테이너 중통 보수 작업,히터교체및 컨테이너 중통 보수,2.03,23.4,8.68,container repair work,Heater replacement and container maintenance,extruder,0.35,4.785711677,351.5,15.02136752
3호기,압출기,8월8일,17:15:00,18:00:00,45,0.8,"메인램, 보조로더 충돌 현상",로더 위치 감지 s/w 가이드봉 고정,2.03,23.4,8.68,"Main RAM, auxiliary loader crash phenomenon",Loader position detection s/w guide rod fixation,extruder,0.35,4.785711677,351.5,15.02136752
3호기,압출기,9월3일,04:27:00,05:30:00,63,1.1,빌레트 보조로다 에어 배관,파손 수정작업,1.02,69.1,1.48,Billet auxiliary rod air piping,Damage correction work,extruder,0.35,4.432211677,345.4,4.998552822
3호기,압출기,9월8일,22:00:00,23:00:00,60,1,빌레트 로다 페드 고정 볼,트 전단 볼트 교체작업,1.02,69.1,1.48,Billet Roda Pad Fixed Ball,Shear bolt replacement work,extruder,0.35,4.432211677,345.4,4.998552822
3호기,압출기,9월24일,06:10:00,06:50:00,40,0.7,빌레트 로다 상승 중 빌레트,낙하 로 솔 밸브 및 단자대 파손 ,1.02,69.1,1.48,Billet Roda Rising Billet,Sol valve and terminal block damaged by falling,extruder,0.35,4.432211677,345.4,4.998552822
3호기,압출기,2016-09-07 00:00:00,11:30:00,12:00:00,30,0.5,빌레트로다 클램프 OPEN 후 메인램 전진 동작 불능,빌레트로다 클램프 리드S/W 고정 브라켓 교체 및 위치조정,0.87,24.7,3.53,"After opening the billettroda clamp, the main ram cannot move forward.",Billettroda clamp lead S/W fixing bracket replacement and position adjustment,extruder,0.35,4.379711677,345.4,13.98380567
3호기,압출기,2016-09-08 00:00:00,22:00:00,23:00:00,60,1,로더판 체결 볼트 파손,로더판 체결 볼트 파손 제거및 체결,0.87,24.7,3.53,Damaged loader plate fastening bolt,Remove and tighten damaged loader plate fastening bolts,extruder,0.35,4.379711677,345.4,13.98380567
3호기,압출기,2016-09-24 00:00:00,06:10:00,06:50:00,40,0.7,빌레트 낙하로 AIR SOL. 터미널 박스 고정 떨어짐.센서 누전.,AIR SOL 보수작업.,0.87,24.7,3.53,AIR SOL due to billet drop. Terminal box has fallen off. Sensor short circuit.,AIR SOL repair work.,extruder,0.35,4.379711677,345.4,13.98380567
3호기,압출기,2016-09-29 00:00:00,13:35:00,13:50:00,15,0.3,빌레트 로다 NO.1 UP 완료후 메인램 전진 동작 불능,로다 NO.1 UP 감지 리드S/W 파손 교체,0.87,24.7,3.53,"After completion of billet loader NO.1 UP, main ram forward movement is not possible.",Roda NO.1 UP detection lead S/W damaged replacement,extruder,0.35,4.379711677,345.4,13.98380567
3호기,압출기,2016-10-14 00:00:00,14:30:00,16:50:00,140,2.3,"BOLSTER PUSHER 전/후진 및 자동 운전시 
MAIN RAM 전진 동작 불능","1.빌레트 로다 클램프 리드S/W 단선 교체
2.BOLSTER PUSHER (L/S55)단선 교체
3..BOLSTER PUSHER 유압S/V(DP)분해 
정검후 정상 동작됨",1.16,29.9,3.87,"BOLSTER PUSHER Forward/Reverse and automatic operation
MAIN RAM Forward movement not possible","1. Billet loader clamp lead S/W disconnection replacement
2.BOLSTER PUSHER (L/S55) disconnection replacement
3..BOLSTER PUSHER hydraulic S/V (DP) disassembly
Normal operation after inspection",extruder,0.35,4.481211677,418.5,13.99665552
3호기,압출기,2016-10-26 00:00:00,13:30:00,15:10:00,100,1.7,로더 클램프 및 축 휨 ,로더 클램프 및 축 휨 교정 작업및 축 교체,1.16,29.9,3.87,Loader clamp and shaft bending,Loader clamp and shaft bending correction work and shaft replacement,extruder,0.35,4.481211677,418.5,13.99665552
3호기,압출기,2016-10-24 00:00:00,12:30:00,13:30:00,60,1,메인 펌프 오일 휠터 오염,메인 펌프 오일 휠터 오염 교체,1.16,29.9,3.87,Main pump oil filter contamination,Main pump oil filter contamination replacement,extruder,0.35,4.481211677,418.5,13.99665552
3호기,압출기,2016-10-14 00:00:00,14:00:00,16:44:00,164,2.7,다이스 이송대 작동 안됨,쏠 밸브 청소,1.16,29.9,3.87,Dice feeder does not work,Cleaning the shoot valve,extruder,0.35,4.481211677,418.5,13.99665552
3호기,압출기,2016-10-24 00:00:00,21:30:00,23:00:00,90,1.5,"자동운전중 메인로더하강완료, 메인로더 하강저속
빠르게 동작되 메인로더 하강후 보조로더 상승안됨.","로더 하강 저속 100101 리미트S/W 고정 풀려 
고정후 정상동작. ",1.16,29.9,3.87,"Main loader lowering completed during automatic operation, main loader lowering speed
It operates quickly, but the auxiliary loader does not rise after the main loader lowers.","Loader descending at low speed 100101 Limit S/W fixed unlocked
Normal operation after fixing.",extruder,0.35,4.481211677,418.5,13.99665552
3호기,압출기,2016-10-17 00:00:00,09:00:00,09:10:00,10,0.2,빌렛트 로더 UP 동작 안되 점검요청.,로더 저속 17 → 22로 변경.,1.16,29.9,3.87,"Billet loader UP does not work, request inspection.",Loader low speed changed from 17 to 22.,extruder,0.35,4.481211677,418.5,13.99665552
3호기,압출기,2016-11-04 00:00:00,13:30:00,20:30:00,420,7,콘테이너 실린더 누유,"콘테이너 실린더 누유 캡 나사산 파손
해체가공 조립(외주 가공 수리)",2.97,122.8,2.42,container cylinder oil leak,"Container cylinder leakage cap thread damage
Disassembly, processing and assembly (outsourced processing and repair)",extruder,0.35,5.114711677,368.5,3.000814332
3호기,압출기,2014-08-04 00:00:00,08:30:00,12:30:00,240,4,"STEM 크랙현상, 교체작업",STEM 교체작업,18.75,18.5,83.96,"STEM crack phenomenon, replacement work",STEM replacement work,extruder,0.35,10.63771168,185.44,10.02378378
3호기,압출기,2014-08-06 00:00:00,06:15:00,08:45:00,50,0.8,클램프 작동불능 및 처짐 현상,분해 조립 및 부싱 장착 후 정상 작동,18.75,18.5,83.96,Clamp inoperability and sagging phenomenon,"Normal operation after disassembly, assembly and bushing installation",extruder,0.35,10.63771168,185.44,10.02378378
3호기,압출기,2014-08-11 00:00:00,10:48:00,12:30:00,85,1.4,로더 판 핀 이탈현상,핀 조정 작업,18.75,18.5,83.96,Loader plate pin separation phenomenon,pin adjustment operation,extruder,0.35,10.63771168,185.44,10.02378378
3호기,압출기,2014-08-18 00:00:00,21:20:00,23:32:00,132,2.2,메인 버트샤 실린더 고정볼트 파손,해당 부위 용접,18.75,18.5,83.96,Main butt shaft cylinder fixing bolt damaged,Welding of the relevant area,extruder,0.35,10.63771168,185.44,10.02378378
3호기,압출기,2014-08-19 00:00:00,05:10:00,05:30:00,20,0.3,로더 클램프 이탈,클램프 정위치 교정작업,18.75,18.5,83.96,Loader clamp breakaway,Clamp position correction work,extruder,0.35,10.63771168,185.44,10.02378378
3호기,압출기,2014-09-03 00:00:00,15:35:00,16:15:00,40,0.7,푸셔 체인 파손,체인 파손부위 연결핀 재연결,4.67,31.6,2.82,Pusher chain broken,Reconnect the connection pin at the damaged part of the chain.,extruder,0.35,5.709711677,316.04,10.00126582
3호기,압출기,2014-09-11 00:00:00,09:10:00,09:30:00,20,0.3,샤 날 가이드 볼트파손,파손볼트 분해 후 교체,4.67,31.6,2.82,Sharp blade guide bolt is damaged,Disassemble and replace damaged bolts,extruder,0.35,5.709711677,316.04,10.00126582
3호기,압출기,2014-09-23 00:00:00,23:27:00,23:48:00,21,0.4,순간 정전 현상,간단한 점검후 재작동,4.67,31.6,2.82,momentary power outage,Restart after simple inspection,extruder,0.35,5.709711677,316.04,10.00126582
3호기,압출기,2014-09-30 00:00:00,18:10:00,19:30:00,80,1.3,사이드실린더 누유,양 사이드 실린더 U-Packing교체,4.67,31.6,2.82,Side cylinder leak,Both side cylinder U-packing replacement,extruder,0.35,5.709711677,316.04,10.00126582
3호기,압출기,2014-10-18 00:00:00,04:16:00,05:38:00,82,1.4,버트노커 실린더 파손,용접작업,12.43,50.2,2.05,Butt knocker cylinder damage,welding work,extruder,0.35,8.425711677,351.38,6.999601594
3호기,압출기,2014-10-18 00:00:00,01:30:00,02:34:00,64,1.1,펌프 작동불능,서브밸브 교체작업,12.43,50.2,2.05,Pump inoperable,Sub valve replacement work,extruder,0.35,8.425711677,351.38,6.999601594
3호기,압출기,2014-10-21 00:00:00,13:30:00,14:00:00,30,0.5,유압펌프 영점틀어짐,"유압펌프 1,2 영점조절",12.43,50.2,2.05,Hydraulic pump zero point misaligned,"Hydraulic pump 1,2 zero point adjustment",extruder,0.35,8.425711677,351.38,6.999601594
3호기,압출기,2014-10-22 00:00:00,09:00:00,11:50:00,170,2.8,SERVO라인 헌팅현상,"AMP, GAIN 설정값 수정",12.43,50.2,2.05,SERVO line hunting phenomenon,"Modify AMP, GAIN settings",extruder,0.35,8.425711677,351.38,6.999601594
3호기,압출기,2014-11-17 00:00:00,08:30:00,19:00:00,630,10.5,P2블럭 기능불량,"P2블럭 작동 불량 원인,블록 임시교체",11.53,60.1,3.91,P2 block malfunction,"Cause of P2 block malfunction, temporary block replacement",extruder,0.35,8.110711677,360.73,6.002163062
3호기,압출기,2014-11-24 00:00:00,20:40:00,21:10:00,25,0.4,보조로더 하강 동작 불량,PLC프로그램 확인 및 리미트 S/W교정,11.53,60.1,3.91,Poor auxiliary loader lowering operation,Check PLC program and correct limit S/W,extruder,0.35,8.110711677,360.73,6.002163062
3호기,압출기,2014-11-25 00:00:00,10:10:00,11:05:00,55,0.9,로더 안쪽 판볼트 파손,볼트 교체작업,11.53,60.1,3.91,The plate bolt inside the loader is damaged.,Bolt replacement work,extruder,0.35,8.110711677,360.73,6.002163062
3호기,가열로,1월7일,05:20:00,05:50:00,30,0.5,트렌스 베어 상승 감지센서 不,감지 센서 교체후 정상 작업,0,30.7,2.4,Trans bearing rise detection sensor not working,Normal operation after replacement of detection sensor,heating furnace,0.25,2.910865483,401.23,13.06938111
3호기,가열로,1월27일,13:30:00,14:00:00,30,0.5,빌레트 가열로 컴버션 부로워,푸즈 소손 교체 작업,0,30.7,2.4,Billet heating furnace compression blower,Fuse burnout replacement work,heating furnace,0.25,2.910865483,401.23,13.06938111
3호기,가열로,2월15일,09:28:00,10:35:00,67,1.1,빌레트 가열로 푸샤 스프로,킷트 베아린볼트 이탈 제조립,0.81,39,2.08,Billet Heating Furnace Pusha Soup,Kit bearing bolt removal reassembly,heating furnace,0.25,3.113365483,312.04,8.001025641
3호기,가열로,2월23일,10:45:00,11:15:00,30,0.5,빌레트 푸샤 체인 전단,체인 링크 교체 작업,0.81,39,2.08,Billet Pusha Chain Shear,chain link replacement,heating furnace,0.25,3.113365483,312.04,8.001025641
3호기,가열로,3월9일,12:00:00,12:30:00,30,0.5,이젝트 실린다누유,예비품 실린다 교체 작업,0.89,19.4,4.6,Eject Silindanuyu,Spare parts loading replacement work,heating furnace,0.25,3.133365483,406.69,20.96340206
3호기,가열로,3월9일,13:30:00,13:45:00,15,0.2,이젝트실린다 감지 센서,교체,0.89,19.4,4.6,Eject cylinder detection sensor,substitute,heating furnace,0.25,3.133365483,406.69,20.96340206
3호기,가열로,3월11일,14:00:00,14:15:00,15,0.2,빌레트 길이 편차,엔커더 카풀러 교체후 정상,0.89,19.4,4.6,Billet length deviation,Normal after replacing encoder coupler,heating furnace,0.25,3.133365483,406.69,20.96340206
3호기,가열로,3월31일,04:43:00,05:24:00,41,0.7,이젝트 실린다누유,실린다다 예비품으로 교체,0.89,19.4,4.6,Eject Silindanuyu,Replaced with a spare part,heating furnace,0.25,3.133365483,406.69,20.96340206
3호기,가열로,4월8일,14:27:00,15:05:00,38,0.6,로그샤 이제트 실린다 누유,실린다 예비품 으로 교체작업,0.78,15.9,4.89,Rogsha Ijet Silinda Nuyu,Replacement work with Silinda spare parts,heating furnace,0.25,3.105865483,317.18,19.94842767
3호기,가열로,4월26일,22:00:00,22:10:00,10,0.2,아세틸렌 점화 감지 리미트 ,스위치 조정 작업,0.78,15.9,4.89,Acetylene ignition detection limit,switch adjustment operation,heating furnace,0.25,3.105865483,317.18,19.94842767
3호기,가열로,4월27일,03:15:00,04:55:00,100,1.7,빌레트 가열로 푸샤 스프로,킷트 베어링 파손 교체작업,0.78,15.9,4.89,Billet Heating Furnace Pusha Soup,Kit bearing damage replacement work,heating furnace,0.25,3.105865483,317.18,19.94842767
3호기,가열로,4월28일,01:30:00,03:23:00,113,1.9,메인 펌프 1번 동작 不,서보 밸브 오일 오염으로 교체 작업,0.78,15.9,4.89,Main pump 1 not operating,Replacement work due to servo valve oil contamination,heating furnace,0.25,3.105865483,317.18,19.94842767
3호기,가열로,4월29일,03:59:00,04:41:00,75,1.3,트렌스베어 기어드 모타 ,부레크 파손 교체작업,0.78,15.9,4.89,Transbear geared motor,Damaged bladder replacement work,heating furnace,0.25,3.105865483,317.18,19.94842767
3호기,가열로,5월12일,06:30:00,07:20:00,50,0.8,빌레트 기장 에러 발생,컨토롤러 릿셋 후 정 상 작업,0.72,40.4,1.79,Billet entry error occurred,Normal operation after controller reset,heating furnace,0.25,3.090865483,363.43,8.995792079
3호기,가열로,6월3일,08:48:00,10:12:00,84,1.4,로그샤 이젝트 실린다 누유,실린다 분해 후 페킹 교체작업,1.06,26.7,3.98,Logsha ejector cylinder leak,Packing replacement work after disassembling the cylinder,heating furnace,0.25,3.175865483,374.17,14.01385768
3호기,가열로,6월18일,07:15:00,08:00:00,45,0.8,가열로 푸샤 체인 연결핀 전단,체인 연결 핀 교체 작업,1.06,26.7,3.98,Heated pusha chain connection pin shear,Chain link pin replacement work,heating furnace,0.25,3.175865483,374.17,14.01385768
3호기,가열로,6월24일,11:12:00,11:40:00,28,0.5,트렌스 베어 바디 체결 볼트,전단 볼트 교체 작업,1.06,26.7,3.98,Trans bare body fastening bolt,Shear bolt replacement work,heating furnace,0.25,3.175865483,374.17,14.01385768
3호기,가열로,6월24일,09:10:00,09:27:00,17,0.3,트렌스 베어 하단 체인 스,프로킷트 위치 이탈 교정 작업,1.06,26.7,3.98,TRANS BEAR BOTTOM CHAINS,Prokit positional deviation correction work,heating furnace,0.25,3.175865483,374.17,14.01385768
3호기,가열로,8월17일,03:30:00,03:45:00,15,0.3,크래들 동작안됨,푸시백 실린더 후진단 감지 리드 S/W 고정 불량으로 교체,2.03,23.4,8.68,Cradle does not work,Pushback cylinder reverse end detection lead S/W replaced due to defective fixation,heating furnace,0.25,3.418365483,351.5,15.02136752
3호기,가열로,8월17일,04:19:00,05:30:00,71,1.2,로그샤 사이드 유압 파이프 볼트 파손,볼트 및 오링 교체,2.03,23.4,8.68,Logsha side hydraulic pipe bolt broken,Bolt and O-ring replacement,heating furnace,0.25,3.418365483,351.5,15.02136752
3호기,가열로,8월17일,11:30:00,12:30:00,60,1,푸셔 계속 전진되는 현상,빌레트 유무 확인 광화이바 센서 브라켓 교정,2.03,23.4,8.68,Pusher keeps moving forward,Checking for presence of billet Calibration of optical fiber sensor bracket,heating furnace,0.25,3.418365483,351.5,15.02136752
3호기,가열로,8월13일,06:30:00,08:45:00,135,2.3,ZONE#1 파이로트 점화 불능,점화 플러그 파손분 교체등,2.03,23.4,8.68,ZONE#1 Pilot ignition disabled,"Replacement of damaged spark plugs, etc.",heating furnace,0.25,3.418365483,351.5,15.02136752
3호기,가열로,8월16일,20:30:00,22:47:00,137,2.3,푸시백 실린더 누유,교체,2.03,23.4,8.68,Pushback cylinder leak,substitute,heating furnace,0.25,3.418365483,315.5,13.48290598
3호기,가열로,9월3일,18:00:00,19:20:00,80,1.3,빌레트 가열로 출구측,배선 열화 로 교체 작업,1.02,69.1,1.48,Billet heating furnace outlet side,Replacement work due to deteriorated wiring,heating furnace,0.25,3.165865483,345.4,4.998552822
3호기,가열로,9월28일,04:30:00,05:30:00,60,1,로그샤 크레들 실린다 고정,볼트 풀림 고정 작업,1.02,69.1,1.48,Roguesha cradle cylinder fixing,Bolt loosening fixing work,heating furnace,0.25,3.165865483,345.4,4.998552822
3호기,가열로,2016-09-28 00:00:00,04:30:00,05:30:00,60,1,크레들 실린더 고정 볼트 풀림,로드핀 해체후 체결,0.87,24.7,3.53,Cradle cylinder fixing bolt loosened,Fastening after dismantling the load pin,heating furnace,0.25,3.128365483,345.4,13.98380567
3호기,가열로,2016-09-03 00:00:00,17:30:00,19:20:00,110,1.8,로그샤 출구측 배선 열화로 오동작.,센서 배선측 케이블 3M교체작업,0.87,24.7,3.53,Malfunction due to deterioration of wiring at logsha outlet side.,Sensor wiring side cable 3M replacement work,heating furnace,0.25,3.128365483,345.4,13.98380567
3호기,가열로,2016-09-08 00:00:00,07:55:00,08:10:00,15,0.2,ZONE#3 애자 파손 교체 요청,열전대 휨 교정 및 애자(4홀) 교체,0.87,24.7,3.53,ZONE#3 Request for replacement of damaged insulator,Correction of thermocouple bending and replacement of insulator (4 holes),heating furnace,0.25,3.128365483,345.4,13.98380567
3호기,가열로,2016-10-05 00:00:00,21:00:00,21:15:00,15,0.2,ZONE#2 열전대 부러져 온도 감지 불능,ZONE#2 열전대 끝단 연마 가공후 길이조절,1.16,29.9,3.87,ZONE#2 Thermocouple is broken and cannot detect temperature.,ZONE#2 Adjust the length after polishing the end of the thermocouple,heating furnace,0.25,3.200865483,418.5,13.99665552
3호기,가열로,2016-10-17 00:00:00,12:15:00,12:25:00,10,0.2,ZONE#4 온도 표시 안됨.,보상도선 단선으로 단선부위 제거 후 정상동작,1.16,29.9,3.87,ZONE#4 temperature not displayed.,Normal operation after removal of disconnection due to disconnection of compensation conductor,heating furnace,0.25,3.200865483,418.5,13.99665552
3호기,가열로,2016-10-24 00:00:00,14:00:00,14:20:00,20,0.3,이형재 분사장치 약품 분사 불능,"S/V 확인 이상 없음 S/V 출구 호스니쁠 막힘으로 
AIR 이용 분해청소후 복구",1.16,29.9,3.87,Release material injection device cannot spray chemicals,"Check S/V. No problem. S/V outlet hose nipple is clogged.
Recovery after disassembly and cleaning using AIR",heating furnace,0.25,3.200865483,418.5,13.99665552
3호기,가열로,2016-11-25 00:00:00,03:07:00,04:41:00,94,1.6,이젝트 실린더,누유교체,2.97,122.8,2.42,eject cylinder,Oil leak replacement,heating furnace,0.25,3.653365483,368.5,3.000814332
3호기,가열로,2014-08-12 00:00:00,03:00:00,03:40:00,40,0.7,빌레트 콜 기능 불능,"로그파일 점검후 동작되나 
M/M동작은 불능이라 임시사용중",18.75,18.5,83.96,Billet call function disabled,"Does it work after checking the log file?
M/M operation is not possible, so it is being used temporarily.",heating furnace,0.25,7.598365483,185.44,10.02378378
3호기,가열로,2014-08-12 00:00:00,01:30:00,03:00:00,90,1.5,빌레트 가열로 퍼지 동작 안됨,HOT JET FAN M/M교체 후 퍼지정상작동,18.75,18.5,83.96,Purge does not work due to billet heating,Normal purge operation after HOT JET FAN M/M replacement,heating furnace,0.25,7.598365483,185.44,10.02378378
3호기,가열로,2014-09-01 00:00:00,08:30:00,08:50:00,20,0.3,probe존 파일럿점화불능,"점화플러그 파손, 교체 및 
점화플러그 케이블 재 연결",4.67,31.6,2.82,Probe zone pilot ignition disabled,"Spark plug damage, replacement and
Reconnect spark plug cable",heating furnace,0.25,4.078365483,316.04,10.00126582
3호기,가열로,2014-10-07 00:00:00,08:40:00,09:00:00,15,0.3,O/P판넬 통신에러,통신 케이블 접촉 불량,12.43,50.2,2.05,O/P panel communication error,Poor communication cable contact,heating furnace,0.25,6.018365483,351.38,6.999601594
3호기,가열로,2014-11-07 00:00:00,13:40:00,14:55:00,60,1,"이젝트, 푸쉬백 동작 불능","샤 하강완료 리미트 S/W 소손으로 교체
SZL-WL c-BLE 및 PLC프로그램 점검",11.53,60.1,3.91,"Eject, pushback not working","Sha descent completion limit S/W replaced due to burnout
SZL-WL c-BLE and PLC program inspection",heating furnace,0.25,5.793365483,360.73,6.002163062
3호기,풀러,5월24일,11:40:00,11:50:00,10,0.2,풀러 작업 중 에러,트레이 미동 작으로 리미트 교체,0.72,40.4,1.79,Error during puller operation,Limit replacement due to tray not operating,fuller,0.09,1.112711574,363.43,8.995792079
3호기,풀러,7월13일,13:30:00,14:00:00,30,0.5,풀러 안전 센서 감지 불,  센서 위 이물질 제거 후 정상 작업,1.44,51,2.83,Fuller safety sensor detects fire,Normal operation after removing foreign substances on the sensor,fuller,0.09,1.177511574,357.16,7.003137255
3호기,풀러,2016-10-12 00:00:00,21:00:00,21:15:00,15,0.2,풀러 자동동작 불능으로 점검요청,리미트 S/W 고정 후 정상동작,1.16,29.9,3.87,Request for inspection due to automatic puller operation failure,Normal operation after fixing limit S/W,fuller,0.09,1.152311574,418.5,13.99665552
3호기,풀러,2014-09-30 00:00:00,22:00:00,23:00:00,60,1,풀러 동작불능,집진자 이탈 및 단선으로 재연결 후 정상동작,4.67,31.6,2.82,Puller not working,Normal operation after dust collector separation and reconnection due to disconnection,fuller,0.09,1.468211574,316.04,10.00126582
3호기,핫쏘,1월14일,07:30:00,08:00:00,30,0.5,HOT SAW MOTOR 과부하 트립,유압펌프 압력 조절 후 작업,0,30.7,2.4,HOT SAW MOTOR OVERLOAD TRIP,Work after adjusting hydraulic pump pressure,Hasso,0.1,1.164346193,401.23,13.06938111
3호기,핫쏘,5월16일,19:28:00,19:50:00,22,0.4,HOT SAW박스 볼트 풀림,볼트 풀림 조임 작업,0.72,40.4,1.79,HOT SAW box bolt loosened,Bolt loosening and tightening work,Hasso,0.1,1.236346193,363.43,8.995792079
3호기,핫쏘,5월26일,10:30:00,12:30:00,120,2,hot saw clamp 센서 감지不,케이불 일부 교체 작업,0.72,40.4,1.79,hot saw clamp sensor not detected,Partial cable replacement work,Hasso,0.1,1.236346193,363.43,8.995792079
3호기,핫쏘,6월11일,14:10:00,15:13:00,63,1.1,HOT SAW SHAFT 마모,예비품 으로 교체 작업,1.06,26.7,3.98,HOT SAW SHAFT Wear,Replacement work with spare parts,Hasso,0.1,1.270346193,374.17,14.01385768
3호기,핫쏘,6월28일,13:50:00,14:47:00,57,0.9,HOT SAW 베아링 마모,베아링 교체 후 정상 작업,1.06,26.7,3.98,HOT SAW bearing wear,Normal operation after bearing replacement,Hasso,0.1,1.270346193,374.17,14.01385768
3호기,핫쏘,2014-09-27 00:00:00,10:10:00,12:20:00,130,2.2,유압 작동 불능,유압 펌프 중고품 교체작업,4.67,31.6,2.82,Hydraulic inoperability,Hydraulic pump used product replacement work,Hasso,0.1,1.631346193,316.04,10.00126582
3호기,후면,1월7일,06:30:00,06:45:00,15,0.3,교정기 판넬CPTRIP,ON/OFF후 정상 동작,0,30.7,2.4,Calibrator panelCPTRIP,Normal operation after ON/OFF,back side,0.15,1.74651929,401.23,13.06938111
3호기,후면,4월8일,16:30:00,17:30:00,60,1,엔드 쏘 하강 감지센서 에러,센서 조정 작업,0.78,15.9,4.89,End saw lowering detection sensor error,Sensor adjustment operation,back side,0.15,1.86351929,317.18,19.94842767
3호기,후면,4월28일,23:40:00,23:55:00,15,0.2,교정기 테일헤드 동작 不,안전 센서 에러 교정 작업,0.78,15.9,4.89,Corrector tail head not operating,Safety sensor error correction work,back side,0.15,1.86351929,317.18,19.94842767
3호기,후면,6월3일,11:00:00,11:30:00,30,0.5,교정기 안전센서 계속 감지,감지 센소 조정 후 정상 작업,1.06,26.7,3.98,Calibrator safety sensor continues to detect,Normal operation after adjusting the detection sensor,back side,0.15,1.90551929,374.17,14.01385768
3호기,후면,6월28일,14:00:00,14:20:00,20,0.3,하이템포 콘베어 동작 不,인버터 알람 발생 리셋 후 동작,1.06,26.7,3.98,High tempo conveyor not operating,Operation after inverter alarm occurrence reset,back side,0.15,1.90551929,374.17,14.01385768
3호기,후면,7월11일,15:00:00,15:40:00,40,0.7,SAW FEED C/V 동작 불,UP 센서 감지 불 교정 작업,1.44,51,2.83,SAW FEED C/V operation not working,UP sensor detects fault correction action,back side,0.15,1.96251929,357.16,7.003137255
3호기,후면,7월23일,04:07:00,06:30:00,143,2.4,스텍카 겐트리 엘레베이타,인버터 알람 발생 원인 파악 제거,1.44,51,2.83,Stacka Gantry Elevator,Identify the cause of the inverter alarm and eliminate it,back side,0.15,1.96251929,357.16,7.003137255
3호기,후면,8월24일,13:40:00,13:50:00,10,0.2,퀜칭펌프 Sol' fuse 파손,Fuse 교체,2.03,23.4,8.68,Quenching pump Sol' fuse damaged,Fuse replacement,back side,0.15,2.05101929,315.5,13.48290598
3호기,후면,8월22일,11:10:00,11:26:00,16,0.3,Runout table up/down 안됨,센서 이물질 제거후 동작,2.03,23.4,8.68,Runout table up/down does not work,Operation after removing sensor foreign matter,back side,0.15,2.05101929,315.5,13.48290598
3호기,후면,8월18일,03:00:00,03:10:00,10,0.2,Discharge C/V 동작안됨,릴레이 고정불량으로 고정후 정상동작,2.03,23.4,8.68,Discharge C/V not working,Normal operation after fixing due to defective relay,back side,0.15,2.05101929,315.5,13.48290598
3호기,후면,2016-09-22 00:00:00,19:23:00,21:30:00,127,2.1,후면 숏피드 구동 모터 동작 안됨,대체 교체및 스프라켓 맞춤 작업,0.87,24.7,3.53,Rear short feed drive motor does not operate,Substitution replacement and sprocket customization work,back side,0.15,1.87701929,345.4,13.98380567
3호기,후면,2016-09-19 00:00:00,21:00:00,21:15:00,15,0.2,MID TEMP C/V 자동운전시 정지 안됨,말굽형 센서 이물질 제거후 정상동작,0.87,24.7,3.53,MID TEMP C/V does not stop during automatic operation,Horseshoe type sensor operates normally after removing foreign substances.,back side,0.15,1.87701929,345.4,13.98380567
