Equipment Number,Part,Date,Start Time,Finish Time,Stopped Time(min),Stopped Time(hour),Cause of Failure,Failure Handling,MTTR,MTBF,Failure Strength Ratio,Price Weighting by Part,Risk Likelihood,Risk Impact
Unit 3,extruder,02/22,14:05:00,14:30:00,25,0.4,No. 3 main pump servo valve,Replaced due to oil contamination,0.81,39,2.08,0.35,8.001025641,4.358711677
Unit 3,extruder,03/01,01:30:00,02:20:00,50,0.8,oil cooler coolant pump,Hood valve replacement work,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,03/02,19:20:00,21:09:00,109,1.8,Mainsha limit switch,Tach dog device damaged,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,03/08,00:30:00,00:50:00,20,0.3,Main pump control server,valve replacement,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,03/09,22:00:00,23:30:00,90,1.5,Buttlocker cable bracket,Welding work after correction of damage,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,03/18,09:50:00,11:47:00,117,2,Billet Loader Anne Pad,Replace all fixing bolts,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,03/19,17:30:00,19:20:00,110,1.8,Loader area during main advance,Stop loader lowering sensor adjustment work,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,03/22,22:00:00,22:14:00,14,0.2,Mainsha limit fixed bra,Kit fixing work,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,03/22,13:50:00,14:10:00,20,0.3,Billet Roda Clump Sensor,coordination work,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,03/28,08:45:00,09:20:00,35,0.6,billet loader clump,Sensor adjustment operation,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,03/29,02:00:00,04:40:00,160,2.7,Butt locker silinda leakage,Replaced with Silinda spare part,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,03/30,11:40:00,12:30:00,50,0.8,Die Clump Bolt Shear,Remove and replace sheared bolts,0.89,19.4,4.6,0.35,20.96340206,4.386711677
Unit 3,extruder,04/02,02:12:00,03:09:00,57,1,Mainsha limit tachi bar damaged,proofreading work,0.78,15.9,4.89,0.35,19.94842767,4.348211677
Unit 3,extruder,04/11,19:50:00,23:52:00,242,4,Butt Sha Hydraulic Block Bracket,Manufacturing and replacement work after damage and disassembly,0.78,15.9,4.89,0.35,19.94842767,4.348211677
Unit 3,extruder,04/25,13:50:00,14:20:00,30,0.5,Mainsha does not work,Limit fixing bolt loosening adjustment work,0.78,15.9,4.89,0.35,19.94842767,4.348211677
Unit 3,extruder,04/26,18:30:00,19:20:00,50,0.8,Container H block oil leak,Cartridge cover o-ring replacement work,0.78,15.9,4.89,0.35,19.94842767,4.348211677
Unit 3,extruder,04/28,13:40:00,14:55:00,75,1.3,Extruder speed adjustment unreasonable,Main pump 1~3 zero point adjustment,0.78,15.9,4.89,0.35,19.94842767,4.348211677
Unit 3,extruder,05/02,16:30:00,17:40:00,70,1.2,No buttlocker reed switch,reed switch replacement,0.72,40.4,1.79,0.35,8.995792079,4.327211677
Unit 3,extruder,05/03,23:00:00,23:08:00,8,0.1,Main pump 2 operation not working,Work after servo valve replacement,0.72,40.4,1.79,0.35,8.995792079,4.327211677
Unit 3,extruder,05/04,23:45:00,23:55:00,10,0.2,AP pump 1 does not work,Operations after servo valve replacement,0.72,40.4,1.79,0.35,8.995792079,4.327211677
Unit 3,extruder,05/11,08:30:00,09:10:00,40,0.7,container block leak,Valve flow control valve O-ring replacement,0.72,40.4,1.79,0.35,8.995792079,4.327211677
Unit 3,extruder,05/27,18:59:00,19:52:00,53,0.9,Main pump 1 not operating,Operation after servo valve zero point operation,0.72,40.4,1.79,0.35,8.995792079,4.327211677
Unit 3,extruder,06/06,13:30:00,17:30:00,240,4,Main pump control servo valve,Not operating due to oil contamination,1.06,26.7,3.98,0.35,14.01385768,4.446211677
Unit 3,extruder,06/07,08:30:00,10:30:00,120,2,Main pump 1~2 servo valve,Zero point operation,1.06,26.7,3.98,0.35,14.01385768,4.446211677
Unit 3,extruder,06/09,09:00:00,10:00:00,60,1,Main Sha Butt Locker Hydraulic Hose,Replacement and sensor guide adjustment work,1.06,26.7,3.98,0.35,14.01385768,4.446211677
Unit 3,extruder,06/13,19:50:00,20:30:00,40,0.7,Trans Bear Drive Roller,Fixing bolt front end replacement work,1.06,26.7,3.98,0.35,14.01385768,4.446211677
Unit 3,extruder,06/17,22:40:00,23:15:00,35,0.6,Machine operation after billet loader UP,Normal operation after error detection sensor adjustment,1.06,26.7,3.98,0.35,14.01385768,4.446211677
Unit 3,extruder,06/23,04:08:00,04:57:00,49,0.8,Buttlocker bracket broken,Bolt replacement work after calibration,1.06,26.7,3.98,0.35,14.01385768,4.446211677
Unit 3,extruder,07/07,04:55:00,06:50:00,115,1.9,Main ram stroke encoder,Distance value is incorrect due to belt deviation,1.44,51,2.83,0.35,7.003137255,4.579211677
Unit 3,extruder,07/22,07:20:00,08:20:00,60,1,SERVO VALVE Intermittent,Doesn't work. Soldering the potentia meter wiring.,1.44,51,2.83,0.35,7.003137255,4.579211677
Unit 3,extruder,07/28,13:30:00,15:50:00,140,2.3,container cylinder rod packing,Severe oil leak replacement work,1.44,51,2.83,0.35,7.003137255,4.579211677
Unit 3,extruder,07/08,11:30:00,12:50:00,80,1.3,SERVO VALVE oil contamination,Valve replacement and weld adjustments,1.44,51,2.83,0.35,7.003137255,4.579211677
Unit 3,extruder,08/08,09:12:00,11:00:00,108,1.8,Loader crash phenomenon,Auxiliary loader lead S/W detection correction,2.03,23.4,8.68,0.35,15.02136752,4.785711677
Unit 3,extruder,08/13,08:45:00,11:23:00,158,2.6,Damaged loader plate,Assemble after calibrating the loader plate,2.03,23.4,8.68,0.35,15.02136752,4.785711677
Unit 3,extruder,08/04,08:30:00,17:00:00,510,8.5,All touch screen input values ​​display “0”,Power supply replacement,2.03,23.4,8.68,0.35,15.02136752,4.785711677
Unit 3,extruder,08/18,03:49:00,05:30:00,101,1.7,Loader plate bolt damaged,Replace damaged loader plate bolts,2.03,23.4,8.68,0.35,15.02136752,4.785711677
Unit 3,extruder,08/27,14:00:00,14:20:00,20,0.3,SCR unit fuse burnt out,SCR unit fuse replacement work,2.03,23.4,8.68,0.35,15.02136752,4.785711677
Unit 3,extruder,08/27,08:30:00,15:30:00,420,7,container repair work,Heater replacement and container maintenance,2.03,23.4,8.68,0.35,15.02136752,4.785711677
Unit 3,extruder,08/08,17:15:00,18:00:00,45,0.8,"Main RAM, auxiliary loader crash phenomenon",Loader position detection s/w guide rod fixation,2.03,23.4,8.68,0.35,15.02136752,4.785711677
Unit 3,extruder,09/03,04:27:00,05:30:00,63,1.1,Billet auxiliary rod air piping,Damage correction work,1.02,69.1,1.48,0.35,4.998552822,4.432211677
Unit 3,extruder,09/08,22:00:00,23:00:00,60,1,Billet Roda Pad Fixed Ball,Shear bolt replacement work,1.02,69.1,1.48,0.35,4.998552822,4.432211677
Unit 3,extruder,09/24,06:10:00,06:50:00,40,0.7,Billet Roda Rising Billet,Sol valve and terminal block damaged by falling,1.02,69.1,1.48,0.35,4.998552822,4.432211677
Unit 3,extruder,09/07,11:30:00,12:00:00,30,0.5,"After opening the billettroda clamp, the main ram cannot move forward.",Billettroda clamp lead S/W fixing bracket replacement and position adjustment,0.87,24.7,3.53,0.35,13.98380567,4.379711677
Unit 3,extruder,09/08,22:00:00,23:00:00,60,1,Damaged loader plate fastening bolt,Remove and tighten damaged loader plate fastening bolts,0.87,24.7,3.53,0.35,13.98380567,4.379711677
Unit 3,extruder,09/24,06:10:00,06:50:00,40,0.7,AIR SOL due to billet drop. Terminal box has fallen off. Sensor short circuit.,AIR SOL repair work.,0.87,24.7,3.53,0.35,13.98380567,4.379711677
Unit 3,extruder,09/29,13:35:00,13:50:00,15,0.3,"After completion of billet loader NO.1 UP, main ram forward movement is not possible.",Roda NO.1 UP detection lead S/W damaged replacement,0.87,24.7,3.53,0.35,13.98380567,4.379711677
Unit 3,extruder,10/14,14:30:00,16:50:00,140,2.3,"BOLSTER PUSHER Forward/Reverse and automatic operation
MAIN RAM Forward movement not possible","1. Billet loader clamp lead S/W disconnection replacement
2.BOLSTER PUSHER (L/S55) disconnection replacement
3..BOLSTER PUSHER hydraulic S/V (DP) disassembly
Normal operation after inspection",1.16,29.9,3.87,0.35,13.99665552,4.481211677
Unit 3,extruder,10/26,13:30:00,15:10:00,100,1.7,Loader clamp and shaft bending,Loader clamp and shaft bending correction work and shaft replacement,1.16,29.9,3.87,0.35,13.99665552,4.481211677
Unit 3,extruder,10/24,12:30:00,13:30:00,60,1,Main pump oil filter contamination,Main pump oil filter contamination replacement,1.16,29.9,3.87,0.35,13.99665552,4.481211677
Unit 3,extruder,10/14,14:00:00,16:44:00,164,2.7,Dice feeder does not work,Cleaning the shoot valve,1.16,29.9,3.87,0.35,13.99665552,4.481211677
Unit 3,extruder,10/24,21:30:00,23:00:00,90,1.5,"Main loader lowering completed during automatic operation, main loader lowering speed
It operates quickly, but the auxiliary loader does not rise after the main loader lowers.","Loader descending at low speed 100101 Limit S/W fixed unlocked
Normal operation after fixing.",1.16,29.9,3.87,0.35,13.99665552,4.481211677
Unit 3,extruder,10/17,09:00:00,09:10:00,10,0.2,"Billet loader UP does not work, request inspection.",Loader low speed changed from 17 to 22.,1.16,29.9,3.87,0.35,13.99665552,4.481211677
Unit 3,extruder,11/04,13:30:00,20:30:00,420,7,container cylinder oil leak,"Container cylinder leakage cap thread damage
Disassembly, processing and assembly (outsourced processing and repair)",2.97,122.8,2.42,0.35,3.000814332,5.114711677
Unit 3,extruder,08/04,08:30:00,12:30:00,240,4,"STEM crack phenomenon, replacement work",STEM replacement work,18.75,18.5,83.96,0.35,10.02378378,10.63771168
Unit 3,extruder,08/06,06:15:00,08:45:00,50,0.8,Clamp inoperability and sagging phenomenon,"Normal operation after disassembly, assembly and bushing installation",18.75,18.5,83.96,0.35,10.02378378,10.63771168
Unit 3,extruder,08/11,10:48:00,12:30:00,85,1.4,Loader plate pin separation phenomenon,pin adjustment operation,18.75,18.5,83.96,0.35,10.02378378,10.63771168
Unit 3,extruder,08/18,21:20:00,23:32:00,132,2.2,Main butt shaft cylinder fixing bolt damaged,Welding of the relevant area,18.75,18.5,83.96,0.35,10.02378378,10.63771168
Unit 3,extruder,08/19,05:10:00,05:30:00,20,0.3,Loader clamp breakaway,Clamp position correction work,18.75,18.5,83.96,0.35,10.02378378,10.63771168
Unit 3,extruder,09/03,15:35:00,16:15:00,40,0.7,Pusher chain broken,Reconnect the connection pin at the damaged part of the chain.,4.67,31.6,2.82,0.35,10.00126582,5.709711677
Unit 3,extruder,09/11,09:10:00,09:30:00,20,0.3,Sharp blade guide bolt is damaged,Disassemble and replace damaged bolts,4.67,31.6,2.82,0.35,10.00126582,5.709711677
Unit 3,extruder,09/23,23:27:00,23:48:00,21,0.4,momentary power outage,Restart after simple inspection,4.67,31.6,2.82,0.35,10.00126582,5.709711677
Unit 3,extruder,09/30,18:10:00,19:30:00,80,1.3,Side cylinder leak,Both side cylinder U-packing replacement,4.67,31.6,2.82,0.35,10.00126582,5.709711677
Unit 3,extruder,10/18,04:16:00,05:38:00,82,1.4,Butt knocker cylinder damage,welding work,12.43,50.2,2.05,0.35,6.999601594,8.425711677
Unit 3,extruder,10/18,01:30:00,02:34:00,64,1.1,Pump inoperable,Sub valve replacement work,12.43,50.2,2.05,0.35,6.999601594,8.425711677
Unit 3,extruder,10/21,13:30:00,14:00:00,30,0.5,Hydraulic pump zero point misaligned,"Hydraulic pump 1,2 zero point adjustment",12.43,50.2,2.05,0.35,6.999601594,8.425711677
Unit 3,extruder,10/22,09:00:00,11:50:00,170,2.8,SERVO line hunting phenomenon,"Modify AMP, GAIN settings",12.43,50.2,2.05,0.35,6.999601594,8.425711677
Unit 3,extruder,11/17,08:30:00,19:00:00,630,10.5,P2 block malfunction,"Cause of P2 block malfunction, temporary block replacement",11.53,60.1,3.91,0.35,6.002163062,8.110711677
Unit 3,extruder,11/24,20:40:00,21:10:00,25,0.4,Poor auxiliary loader lowering operation,Check PLC program and correct limit S/W,11.53,60.1,3.91,0.35,6.002163062,8.110711677
Unit 3,extruder,11/25,10:10:00,11:05:00,55,0.9,The plate bolt inside the loader is damaged.,Bolt replacement work,11.53,60.1,3.91,0.35,6.002163062,8.110711677
Unit 3,heating furnace,01/07,05:20:00,05:50:00,30,0.5,Trans bearing rise detection sensor not working,Normal operation after replacement of detection sensor,0,30.7,2.4,0.25,13.06938111,2.910865483
Unit 3,heating furnace,01/27,13:30:00,14:00:00,30,0.5,Billet heating furnace compression blower,Fuse burnout replacement work,0,30.7,2.4,0.25,13.06938111,2.910865483
Unit 3,heating furnace,02/15,09:28:00,10:35:00,67,1.1,Billet Heating Furnace Pusha Soup,Kit bearing bolt removal reassembly,0.81,39,2.08,0.25,8.001025641,3.113365483
Unit 3,heating furnace,02/23,10:45:00,11:15:00,30,0.5,Billet Pusha Chain Shear,chain link replacement,0.81,39,2.08,0.25,8.001025641,3.113365483
Unit 3,heating furnace,03/09,12:00:00,12:30:00,30,0.5,Eject Silindanuyu,Spare parts loading replacement work,0.89,19.4,4.6,0.25,20.96340206,3.133365483
Unit 3,heating furnace,03/09,13:30:00,13:45:00,15,0.2,Eject cylinder detection sensor,substitute,0.89,19.4,4.6,0.25,20.96340206,3.133365483
Unit 3,heating furnace,03/11,14:00:00,14:15:00,15,0.2,Billet length deviation,Normal after replacing encoder coupler,0.89,19.4,4.6,0.25,20.96340206,3.133365483
Unit 3,heating furnace,03/31,04:43:00,05:24:00,41,0.7,Eject Silindanuyu,Replaced with a spare part,0.89,19.4,4.6,0.25,20.96340206,3.133365483
Unit 3,heating furnace,04/08,14:27:00,15:05:00,38,0.6,Rogsha Ijet Silinda Nuyu,Replacement work with Silinda spare parts,0.78,15.9,4.89,0.25,19.94842767,3.105865483
Unit 3,heating furnace,04/26,22:00:00,22:10:00,10,0.2,Acetylene ignition detection limit,switch adjustment operation,0.78,15.9,4.89,0.25,19.94842767,3.105865483
Unit 3,heating furnace,04/27,03:15:00,04:55:00,100,1.7,Billet Heating Furnace Pusha Soup,Kit bearing damage replacement work,0.78,15.9,4.89,0.25,19.94842767,3.105865483
Unit 3,heating furnace,04/28,01:30:00,03:23:00,113,1.9,Main pump 1 not operating,Replacement work due to servo valve oil contamination,0.78,15.9,4.89,0.25,19.94842767,3.105865483
Unit 3,heating furnace,04/29,03:59:00,04:41:00,75,1.3,Transbear geared motor,Damaged bladder replacement work,0.78,15.9,4.89,0.25,19.94842767,3.105865483
Unit 3,heating furnace,05/12,06:30:00,07:20:00,50,0.8,Billet entry error occurred,Normal operation after controller reset,0.72,40.4,1.79,0.25,8.995792079,3.090865483
Unit 3,heating furnace,06/03,08:48:00,10:12:00,84,1.4,Logsha ejector cylinder leak,Packing replacement work after disassembling the cylinder,1.06,26.7,3.98,0.25,14.01385768,3.175865483
Unit 3,heating furnace,06/18,07:15:00,08:00:00,45,0.8,Heated pusha chain connection pin shear,Chain link pin replacement work,1.06,26.7,3.98,0.25,14.01385768,3.175865483
Unit 3,heating furnace,06/24,11:12:00,11:40:00,28,0.5,Trans bare body fastening bolt,Shear bolt replacement work,1.06,26.7,3.98,0.25,14.01385768,3.175865483
Unit 3,heating furnace,06/24,09:10:00,09:27:00,17,0.3,TRANS BEAR BOTTOM CHAINS,Prokit positional deviation correction work,1.06,26.7,3.98,0.25,14.01385768,3.175865483
Unit 3,heating furnace,08/17,03:30:00,03:45:00,15,0.3,Cradle does not work,Pushback cylinder reverse end detection lead S/W replaced due to defective fixation,2.03,23.4,8.68,0.25,15.02136752,3.418365483
Unit 3,heating furnace,08/17,04:19:00,05:30:00,71,1.2,Logsha side hydraulic pipe bolt broken,Bolt and O-ring replacement,2.03,23.4,8.68,0.25,15.02136752,3.418365483
Unit 3,heating furnace,08/17,11:30:00,12:30:00,60,1,Pusher keeps moving forward,Checking for presence of billet Calibration of optical fiber sensor bracket,2.03,23.4,8.68,0.25,15.02136752,3.418365483
Unit 3,heating furnace,08/13,06:30:00,08:45:00,135,2.3,ZONE#1 Pilot ignition disabled,"Replacement of damaged spark plugs, etc.",2.03,23.4,8.68,0.25,15.02136752,3.418365483
Unit 3,heating furnace,08/16,20:30:00,22:47:00,137,2.3,Pushback cylinder leak,substitute,2.03,23.4,8.68,0.25,13.48290598,3.418365483
Unit 3,heating furnace,09/03,18:00:00,19:20:00,80,1.3,Billet heating furnace outlet side,Replacement work due to deteriorated wiring,1.02,69.1,1.48,0.25,4.998552822,3.165865483
Unit 3,heating furnace,09/28,04:30:00,05:30:00,60,1,Roguesha cradle cylinder fixing,Bolt loosening fixing work,1.02,69.1,1.48,0.25,4.998552822,3.165865483
Unit 3,heating furnace,09/28,04:30:00,05:30:00,60,1,Cradle cylinder fixing bolt loosened,Fastening after dismantling the load pin,0.87,24.7,3.53,0.25,13.98380567,3.128365483
Unit 3,heating furnace,09/03,17:30:00,19:20:00,110,1.8,Malfunction due to deterioration of wiring at logsha outlet side.,Sensor wiring side cable 3M replacement work,0.87,24.7,3.53,0.25,13.98380567,3.128365483
Unit 3,heating furnace,09/08,07:55:00,08:10:00,15,0.2,ZONE#3 Request for replacement of damaged insulator,Correction of thermocouple bending and replacement of insulator (4 holes),0.87,24.7,3.53,0.25,13.98380567,3.128365483
Unit 3,heating furnace,10/05,21:00:00,21:15:00,15,0.2,ZONE#2 Thermocouple is broken and cannot detect temperature.,ZONE#2 Adjust the length after polishing the end of the thermocouple,1.16,29.9,3.87,0.25,13.99665552,3.200865483
Unit 3,heating furnace,10/17,12:15:00,12:25:00,10,0.2,ZONE#4 temperature not displayed.,Normal operation after removal of disconnection due to disconnection of compensation conductor,1.16,29.9,3.87,0.25,13.99665552,3.200865483
Unit 3,heating furnace,10/24,14:00:00,14:20:00,20,0.3,Release material injection device cannot spray chemicals,"Check S/V. No problem. S/V outlet hose nipple is clogged.
Recovery after disassembly and cleaning using AIR",1.16,29.9,3.87,0.25,13.99665552,3.200865483
Unit 3,heating furnace,11/25,03:07:00,04:41:00,94,1.6,eject cylinder,Oil leak replacement,2.97,122.8,2.42,0.25,3.000814332,3.653365483
Unit 3,heating furnace,08/12,03:00:00,03:40:00,40,0.7,Billet call function disabled,"Does it work after checking the log file?
M/M operation is not possible, so it is being used temporarily.",18.75,18.5,83.96,0.25,10.02378378,7.598365483
Unit 3,heating furnace,08/12,01:30:00,03:00:00,90,1.5,Purge does not work due to billet heating,Normal purge operation after HOT JET FAN M/M replacement,18.75,18.5,83.96,0.25,10.02378378,7.598365483
Unit 3,heating furnace,09/01,08:30:00,08:50:00,20,0.3,Probe zone pilot ignition disabled,"Spark plug damage, replacement and
Reconnect spark plug cable",4.67,31.6,2.82,0.25,10.00126582,4.078365483
Unit 3,heating furnace,10/07,08:40:00,09:00:00,15,0.3,O/P panel communication error,Poor communication cable contact,12.43,50.2,2.05,0.25,6.999601594,6.018365483
Unit 3,heating furnace,11/07,13:40:00,14:55:00,60,1,"Eject, pushback not working","Sha descent completion limit S/W replaced due to burnout
SZL-WL c-BLE and PLC program inspection",11.53,60.1,3.91,0.25,6.002163062,5.793365483
Unit 3,fuller,05/24,11:40:00,11:50:00,10,0.2,Error during puller operation,Limit replacement due to tray not operating,0.72,40.4,1.79,0.09,8.995792079,1.112711574
Unit 3,fuller,07/13,13:30:00,14:00:00,30,0.5,Fuller safety sensor detects fire,Normal operation after removing foreign substances on the sensor,1.44,51,2.83,0.09,7.003137255,1.177511574
Unit 3,fuller,10/12,21:00:00,21:15:00,15,0.2,Request for inspection due to automatic puller operation failure,Normal operation after fixing limit S/W,1.16,29.9,3.87,0.09,13.99665552,1.152311574
Unit 3,fuller,09/30,22:00:00,23:00:00,60,1,Puller not working,Normal operation after dust collector separation and reconnection due to disconnection,4.67,31.6,2.82,0.09,10.00126582,1.468211574
Unit 3,Hasso,01/14,07:30:00,08:00:00,30,0.5,HOT SAW MOTOR OVERLOAD TRIP,Work after adjusting hydraulic pump pressure,0,30.7,2.4,0.1,13.06938111,1.164346193
Unit 3,Hasso,05/16,19:28:00,19:50:00,22,0.4,HOT SAW box bolt loosened,Bolt loosening and tightening work,0.72,40.4,1.79,0.1,8.995792079,1.236346193
Unit 3,Hasso,05/26,10:30:00,12:30:00,120,2,hot saw clamp sensor not detected,Partial cable replacement work,0.72,40.4,1.79,0.1,8.995792079,1.236346193
Unit 3,Hasso,06/11,14:10:00,15:13:00,63,1.1,HOT SAW SHAFT Wear,Replacement work with spare parts,1.06,26.7,3.98,0.1,14.01385768,1.270346193
Unit 3,Hasso,06/28,13:50:00,14:47:00,57,0.9,HOT SAW bearing wear,Normal operation after bearing replacement,1.06,26.7,3.98,0.1,14.01385768,1.270346193
Unit 3,Hasso,09/27,10:10:00,12:20:00,130,2.2,Hydraulic inoperability,Hydraulic pump used product replacement work,4.67,31.6,2.82,0.1,10.00126582,1.631346193
Unit 3,back side,01/07,06:30:00,06:45:00,15,0.3,Calibrator panelCPTRIP,Normal operation after ON/OFF,0,30.7,2.4,0.15,13.06938111,1.74651929
Unit 3,back side,04/08,16:30:00,17:30:00,60,1,End saw lowering detection sensor error,Sensor adjustment operation,0.78,15.9,4.89,0.15,19.94842767,1.86351929
Unit 3,back side,04/28,23:40:00,23:55:00,15,0.2,Corrector tail head not operating,Safety sensor error correction work,0.78,15.9,4.89,0.15,19.94842767,1.86351929
Unit 3,back side,06/03,11:00:00,11:30:00,30,0.5,Calibrator safety sensor continues to detect,Normal operation after adjusting the detection sensor,1.06,26.7,3.98,0.15,14.01385768,1.90551929
Unit 3,back side,06/28,14:00:00,14:20:00,20,0.3,High tempo conveyor not operating,Operation after inverter alarm occurrence reset,1.06,26.7,3.98,0.15,14.01385768,1.90551929
Unit 3,back side,07/11,15:00:00,15:40:00,40,0.7,SAW FEED C/V operation not working,UP sensor detects fault correction action,1.44,51,2.83,0.15,7.003137255,1.96251929
Unit 3,back side,07/23,04:07:00,06:30:00,143,2.4,Stacka Gantry Elevator,Identify the cause of the inverter alarm and eliminate it,1.44,51,2.83,0.15,7.003137255,1.96251929
Unit 3,back side,08/24,13:40:00,13:50:00,10,0.2,Quenching pump Sol' fuse damaged,Fuse replacement,2.03,23.4,8.68,0.15,13.48290598,2.05101929
Unit 3,back side,08/22,11:10:00,11:26:00,16,0.3,Runout table up/down does not work,Operation after removing sensor foreign matter,2.03,23.4,8.68,0.15,13.48290598,2.05101929
Unit 3,back side,08/18,03:00:00,03:10:00,10,0.2,Discharge C/V not working,Normal operation after fixing due to defective relay,2.03,23.4,8.68,0.15,13.48290598,2.05101929
Unit 3,back side,09/22,19:23:00,21:30:00,127,2.1,Rear short feed drive motor does not operate,Substitution replacement and sprocket customization work,0.87,24.7,3.53,0.15,13.98380567,1.87701929
Unit 3,back side,09/19,21:00:00,21:15:00,15,0.2,MID TEMP C/V does not stop during automatic operation,Horseshoe type sensor operates normally after removing foreign substances.,0.87,24.7,3.53,0.15,13.98380567,1.87701929
Unit 3,back side,09/26,12:30:00,13:50:00,80,1.3,Billet flipping device sole block crack leak,Billet flipping device saw block crack oil leak replacement work,0.87,24.7,3.53,0.15,13.98380567,1.87701929
Unit 3,back side,09/03,04:27:00,05:30:00,63,1.1,Auxiliary loader pipe damage,Auxiliary loader pipe damage replacement and fastening,0.87,24.7,3.53,0.15,13.98380567,1.87701929
Unit 3,back side,09/26,18:30:00,19:30:00,60,1,Rear SAW-FEEDER cannot be operated,Rear SAW-FEEDER MOTOR damaged and repaired/received,0.87,24.7,3.53,0.15,13.98380567,1.87701929
Unit 3,back side,09/24,21:10:00,21:40:00,30,0.5,Power head up/down/front/back 4-way lever switch burned out,LVL-4M-11 1EA replacement,0.87,24.7,3.53,0.15,13.98380567,1.87701929
Unit 3,back side,09/02,19:30:00,20:00:00,30,0.5,TAIL HEAD JAW DOWN does not work,Disassembly and cleaning and replacement of sensor protection cover (plate),0.87,24.7,3.53,0.15,13.98380567,1.87701929
Unit 3,back side,10/24,17:30:00,18:10:00,40,0.7,Hot saw lift cylinder not working,Hot saw lift cylinder not working replace,1.16,29.9,3.87,0.15,13.99665552,1.92051929
Unit 3,back side,10/28,03:15:00,03:25:00,10,0.2,HI TEMP C/V not running.,Request for action due to chain breakage.,1.16,29.9,3.87,0.15,13.99665552,1.92051929
Unit 3,back side,10/06,12:20:00,13:10:00,50,0.8,Request for inspection due to UP/DOWN E/V MOTOR noise,"Brake pad replacement, low speed change from 10HZ to 20HZ.",1.16,29.9,3.87,0.15,13.99665552,1.92051929
Unit 3,back side,08/05,03:50:00,04:11:00,21,0.4,Handling Unit 3 Hi TEMP C/V inoperable,"HI TEMP C/V inverter alarm occurs, normal operation after release",18.75,18.5,83.96,0.15,10.02378378,4.55901929
Unit 3,back side,08/11,14:00:00,14:15:00,10,0.2,HI TEMP C/V inoperable,HI TEMP RESET due to C/V inverter overload,18.75,18.5,83.96,0.15,10.02378378,4.55901929
Unit 3,back side,09/06,23:20:00,00:45:00,70,1.2,Align c/v not working,"fuse frs-r-3 2/10 amp 2ea replacement and
Replaced due to inverter burnout, L7-2 horsepower and
Normal operation after entering parameter values",4.67,31.6,2.82,0.15,10.00126582,2.44701929
Unit 3,back side,09/25,01:45:00,02:30:00,45,0.8,Clamp regulator broken,Regulator replacement work,4.67,31.6,2.82,0.15,10.00126582,2.44701929
Unit 3,back side,09/26,08:30:00,09:15:00,45,0.8,Up/down clump not working,Normal operation after bracket calibration and sensor position calibration,4.67,31.6,2.82,0.15,10.00126582,2.44701929
Unit 3,back side,10/13,21:40:00,21:50:00,10,0.2,Saw blade cannot advance,Normal operation after cleaning door L/S air,12.43,50.2,2.05,0.15,6.999601594,3.61101929
Unit 3,back side,10/17,16:00:00,19:20:00,60,1,Cutter cutting error,"Cut off due to abnormal signal of SAW rising counter value
defect occurred",12.43,50.2,2.05,0.15,6.999601594,3.61101929
Unit 3,back side,11/21,17:00:00,20:00:00,60,1,Abnormal saw blade lowering motion,Fall detection limit switch calibration work,11.53,60.1,3.91,0.15,6.002163062,3.47601929
Unit 3,back side,11/26,21:30:00,22:00:00,15,0.3,Unable to retract after cutting the saw blade,Sensing rod calibration,11.53,60.1,3.91,0.15,6.002163062,3.47601929
Unit 3,etc,04/11,09:00:00,09:10:00,10,0.2,H-9 VCB OCR TRIP,RESET,0.78,15.9,4.89,0.06,19.94842767,0.745407716
Unit 3,etc,04/12,19:43:00,19:50:00,7,0.1,H-9 VCB OCR TRIP,RESET,0.78,15.9,4.89,0.06,19.94842767,0.745407716
Unit 3,etc,04/12,16:22:00,16:30:00,8,0.1,H-9 VCB OCR TRIP,RESET,0.78,15.9,4.89,0.06,19.94842767,0.745407716
Unit 3,etc,04/12,14:09:00,14:20:00,11,0.2,H-9 VCB OCR TRIP,RESET,0.78,15.9,4.89,0.06,19.94842767,0.745407716
Unit 3,etc,04/12,12:23:00,12:30:00,7,0.1,H-9 VCB OCR TRIP,RESET,0.78,15.9,4.89,0.06,19.94842767,0.745407716
Unit 3,etc,04/18,23:10:00,23:15:00,5,0.1,H-9 VCB OCR TRIP,RESET,0.78,15.9,4.89,0.06,19.94842767,0.745407716
Unit 3,etc,04/19,21:18:00,21:25:00,7,0.1,H-9 VCB OCR TRIP,RESET,0.78,15.9,4.89,0.06,19.94842767,0.745407716
Unit 3,etc,04/21,06:58:00,07:05:00,7,0.1,H-9 VCB OCR TRIP,RESET,0.78,15.9,4.89,0.06,19.94842767,0.745407716
